x-axis,1,2,3
second,Volt,Volt,Volt
-5.00000E-06,+1.08203125000E+00,+489.45313229E-03,+459.37500685E-03
-4.99000E-06,+1.10156250000E+00,+493.75000736E-03,+464.84375693E-03
-4.98000E-06,+1.11328125000E+00,+498.43750743E-03,+469.92188200E-03
-4.97000E-06,+1.12890625000E+00,+502.73438249E-03,+474.21875707E-03
-4.96000E-06,+1.13281250000E+00,+507.42188256E-03,+478.90625714E-03
-4.95000E-06,+1.14453125000E+00,+512.10938263E-03,+483.20313220E-03
-4.94000E-06,+1.16015625000E+00,+516.01563269E-03,+487.89063227E-03
-4.93000E-06,+1.17187500000E+00,+520.31250775E-03,+492.57813234E-03
-4.92000E-06,+1.18359375000E+00,+524.21875781E-03,+496.87500740E-03
-4.91000E-06,+1.19921875000E+00,+528.12500787E-03,+500.78125746E-03
-4.90000E-06,+1.21093750000E+00,+531.64063292E-03,+505.46875753E-03
-4.89000E-06,+1.21875000000E+00,+535.15625797E-03,+510.15625760E-03
-4.88000E-06,+1.22656250000E+00,+538.67188303E-03,+514.06250766E-03
-4.87000E-06,+1.23828125000E+00,+542.96875809E-03,+518.35938272E-03
-4.86000E-06,+1.24609375000E+00,+546.48438314E-03,+521.87500778E-03
-4.85000E-06,+1.26171875000E+00,+550.39063320E-03,+526.17188284E-03
-4.84000E-06,+1.27343750000E+00,+553.51563325E-03,+530.07813290E-03
-4.83000E-06,+1.28515625000E+00,+557.42188331E-03,+533.59375795E-03
-4.82000E-06,+1.29296875000E+00,+560.54688335E-03,+537.10938300E-03
-4.81000E-06,+1.30078125000E+00,+563.67188340E-03,+541.01563306E-03
-4.80000E-06,+1.30859375000E+00,+567.18750845E-03,+544.14063311E-03
-4.79000E-06,+1.31250000000E+00,+569.92188349E-03,+548.04688317E-03
-4.78000E-06,+1.31640625000E+00,+573.04688354E-03,+551.95313322E-03
-4.77000E-06,+1.32421875000E+00,+575.78125858E-03,+555.46875828E-03
-4.76000E-06,+1.33593750000E+00,+578.51563362E-03,+558.20313332E-03
-4.75000E-06,+1.34375000000E+00,+581.25000866E-03,+561.32813336E-03
-4.74000E-06,+1.35156250000E+00,+584.37500871E-03,+564.06250841E-03
-4.73000E-06,+1.35937500000E+00,+586.71875874E-03,+567.18750845E-03
-4.72000E-06,+1.36718750000E+00,+589.45313378E-03,+570.31250850E-03
-4.71000E-06,+1.37500000000E+00,+591.40625881E-03,+573.04688354E-03
-4.70000E-06,+1.37890625000E+00,+593.35938384E-03,+575.78125858E-03
-4.69000E-06,+1.38671875000E+00,+595.31250887E-03,+578.51563362E-03
-4.68000E-06,+1.38671875000E+00,+596.87500889E-03,+580.85938366E-03
-4.67000E-06,+1.39062500000E+00,+598.43750892E-03,+583.59375870E-03
-4.66000E-06,+1.39062500000E+00,+600.39063395E-03,+585.54688373E-03
-4.65000E-06,+1.40234375000E+00,+602.34375898E-03,+588.28125877E-03
-4.64000E-06,+1.41015625000E+00,+603.90625900E-03,+589.84375879E-03
-4.63000E-06,+1.41406250000E+00,+605.46875902E-03,+591.79688382E-03
-4.62000E-06,+1.41406250000E+00,+607.03125905E-03,+593.75000885E-03
-4.61000E-06,+1.41406250000E+00,+608.20313406E-03,+595.70313388E-03
-4.60000E-06,+1.42187500000E+00,+609.37500908E-03,+597.65625891E-03
-4.59000E-06,+1.42578125000E+00,+610.15625909E-03,+599.60938393E-03
-4.58000E-06,+1.42187500000E+00,+611.32813411E-03,+601.17188396E-03
-4.57000E-06,+1.42187500000E+00,+612.50000913E-03,+602.73438398E-03
-4.56000E-06,+1.41796875000E+00,+612.89063413E-03,+603.51563399E-03
-4.55000E-06,+1.43359375000E+00,+613.28125914E-03,+604.68750901E-03
-4.54000E-06,+1.42968750000E+00,+614.06250915E-03,+605.46875902E-03
-4.53000E-06,+1.43359375000E+00,+614.45313416E-03,+606.64063404E-03
-4.52000E-06,+1.42968750000E+00,+615.23438417E-03,+607.42188405E-03
-4.51000E-06,+1.42968750000E+00,+615.23438417E-03,+607.81250906E-03
-4.50000E-06,+1.42968750000E+00,+615.23438417E-03,+608.59375907E-03
-4.49000E-06,+1.42968750000E+00,+616.01563418E-03,+609.37500908E-03
-4.48000E-06,+1.43359375000E+00,+615.62500917E-03,+609.76563409E-03
-4.47000E-06,+1.43359375000E+00,+616.01563418E-03,+610.15625909E-03
-4.46000E-06,+1.43359375000E+00,+615.62500917E-03,+610.15625909E-03
-4.45000E-06,+1.43359375000E+00,+615.23438417E-03,+610.93750910E-03
-4.44000E-06,+1.42968750000E+00,+614.84375916E-03,+611.32813411E-03
-4.43000E-06,+1.42187500000E+00,+614.45313416E-03,+611.32813411E-03
-4.42000E-06,+1.42187500000E+00,+614.06250915E-03,+611.32813411E-03
-4.41000E-06,+1.41406250000E+00,+613.28125914E-03,+611.32813411E-03
-4.40000E-06,+1.41015625000E+00,+612.50000913E-03,+611.32813411E-03
-4.39000E-06,+1.41406250000E+00,+611.71875912E-03,+611.32813411E-03
-4.38000E-06,+1.41015625000E+00,+610.93750910E-03,+610.93750910E-03
-4.37000E-06,+1.40234375000E+00,+610.15625909E-03,+610.54688410E-03
-4.36000E-06,+1.39453125000E+00,+608.98438407E-03,+609.76563409E-03
-4.35000E-06,+1.39062500000E+00,+607.03125905E-03,+608.98438407E-03
-4.34000E-06,+1.38281250000E+00,+605.85938403E-03,+607.81250906E-03
