x-axis,1,2,3,
second,Volt,Volt,Volt,Vd
-5.00E-06,1.08E+00,4.89E-01,4.59E-01,0.030078125
-4.99E-06,1.10E+00,4.94E-01,4.65E-01,0.02890625
-4.98E-06,1.11E+00,4.98E-01,4.70E-01,0.028515625
-4.97E-06,1.13E+00,5.03E-01,4.74E-01,0.028515625
-4.96E-06,1.13E+00,5.07E-01,4.79E-01,0.028515625
-4.95E-06,1.14E+00,5.12E-01,4.83E-01,0.02890625
-4.94E-06,1.16E+00,5.16E-01,4.88E-01,0.028125
-4.93E-06,1.17E+00,5.20E-01,4.93E-01,0.027734375
-4.92E-06,1.18E+00,5.24E-01,4.97E-01,0.02734375
-4.91E-06,1.20E+00,5.28E-01,5.01E-01,0.02734375
-4.90E-06,1.21E+00,5.32E-01,5.05E-01,0.026171875
-4.89E-06,1.22E+00,5.35E-01,5.10E-01,0.025
-4.88E-06,1.23E+00,5.39E-01,5.14E-01,0.024609375
-4.87E-06,1.24E+00,5.43E-01,5.18E-01,0.024609375
-4.86E-06,1.25E+00,5.46E-01,5.22E-01,0.024609375
-4.85E-06,1.26E+00,5.50E-01,5.26E-01,0.02421875
-4.84E-06,1.27E+00,5.54E-01,5.30E-01,0.0234375
-4.83E-06,1.29E+00,5.57E-01,5.34E-01,0.023828125
-4.82E-06,1.29E+00,5.61E-01,5.37E-01,0.0234375
-4.81E-06,1.30E+00,5.64E-01,5.41E-01,0.02265625
-4.80E-06,1.31E+00,5.67E-01,5.44E-01,0.023046875
-4.79E-06,1.31E+00,5.70E-01,5.48E-01,0.021875
-4.78E-06,1.32E+00,5.73E-01,5.52E-01,0.02109375
-4.77E-06,1.32E+00,5.76E-01,5.55E-01,0.0203125
-4.76E-06,1.34E+00,5.79E-01,5.58E-01,0.0203125
-4.75E-06,1.34E+00,5.81E-01,5.61E-01,0.019921875
-4.74E-06,1.35E+00,5.84E-01,5.64E-01,0.0203125
-4.73E-06,1.36E+00,5.87E-01,5.67E-01,0.01953125
-4.72E-06,1.37E+00,5.89E-01,5.70E-01,0.019140625
-4.71E-06,1.38E+00,5.91E-01,5.73E-01,0.018359375
-4.70E-06,1.38E+00,5.93E-01,5.76E-01,0.017578125
-4.69E-06,1.39E+00,5.95E-01,5.79E-01,0.016796875
-4.68E-06,1.39E+00,5.97E-01,5.81E-01,0.016015625
-4.67E-06,1.39E+00,5.98E-01,5.84E-01,0.01484375
-4.66E-06,1.39E+00,6.00E-01,5.86E-01,0.01484375
-4.65E-06,1.40E+00,6.02E-01,5.88E-01,0.0140625
-4.64E-06,1.41E+00,6.04E-01,5.90E-01,0.0140625
-4.63E-06,1.41E+00,6.05E-01,5.92E-01,0.013671875
-4.62E-06,1.41E+00,6.07E-01,5.94E-01,0.01328125
-4.61E-06,1.41E+00,6.08E-01,5.96E-01,0.0125
-4.60E-06,1.42E+00,6.09E-01,5.98E-01,0.01171875
-4.59E-06,1.43E+00,6.10E-01,6.00E-01,0.010546875
-4.58E-06,1.42E+00,6.11E-01,6.01E-01,0.01015625
-4.57E-06,1.42E+00,6.13E-01,6.03E-01,0.009765625
-4.56E-06,1.42E+00,6.13E-01,6.04E-01,0.009375
-4.55E-06,1.43E+00,6.13E-01,6.05E-01,0.00859375
-4.54E-06,1.43E+00,6.14E-01,6.05E-01,0.00859375
-4.53E-06,1.43E+00,6.14E-01,6.07E-01,0.0078125
-4.52E-06,1.43E+00,6.15E-01,6.07E-01,0.0078125
-4.51E-06,1.43E+00,6.15E-01,6.08E-01,0.007421875
-4.50E-06,1.43E+00,6.15E-01,6.09E-01,0.006640625
