x-axis,1,2,3,
second,Volt,Volt,Volt,Vd
-2.08E-04,1.07E+00,3.96E-01,4.23E-01,0.026171875
-2.07E-04,1.11E+00,4.11E-01,4.37E-01,0.025390625
-2.07E-04,1.16E+00,4.27E-01,4.51E-01,0.024609375
-2.06E-04,1.19E+00,4.39E-01,4.64E-01,0.025390625
-2.06E-04,1.23E+00,4.53E-01,4.78E-01,0.024609375
-2.05E-04,1.27E+00,4.66E-01,4.89E-01,0.0234375
-2.05E-04,1.31E+00,4.80E-01,5.02E-01,0.021875
-2.04E-04,1.35E+00,4.91E-01,5.13E-01,0.021875
-2.04E-04,1.38E+00,5.02E-01,5.25E-01,0.02265625
-2.03E-04,1.41E+00,5.12E-01,5.35E-01,0.0234375
-2.03E-04,1.44E+00,5.20E-01,5.45E-01,0.024609375
-2.02E-04,1.48E+00,5.29E-01,5.55E-01,0.026171875
-2.02E-04,1.50E+00,5.36E-01,5.64E-01,0.028515625
-2.01E-04,1.52E+00,5.46E-01,5.73E-01,0.026953125
-2.01E-04,1.54E+00,5.59E-01,5.81E-01,0.02265625
-2.00E-04,1.57E+00,5.68E-01,5.88E-01,0.019140625
-2.00E-04,1.59E+00,5.76E-01,5.95E-01,0.018359375
-1.99E-04,1.61E+00,5.85E-01,6.02E-01,0.016796875
-1.99E-04,1.62E+00,5.89E-01,6.07E-01,0.017578125
-1.98E-04,1.63E+00,5.93E-01,6.11E-01,0.017578125
-1.98E-04,1.65E+00,5.94E-01,6.16E-01,0.021484375
-1.97E-04,1.66E+00,5.94E-01,6.19E-01,0.024609375
-1.97E-04,1.67E+00,5.97E-01,6.21E-01,0.024609375
-1.96E-04,1.68E+00,5.99E-01,6.25E-01,0.025390625
-1.96E-04,1.69E+00,6.00E-01,6.27E-01,0.026953125
-1.95E-04,1.68E+00,6.02E-01,6.28E-01,0.0265625
-1.95E-04,1.68E+00,6.04E-01,6.29E-01,0.02421875
-1.94E-04,1.69E+00,6.08E-01,6.28E-01,0.01953125
-1.94E-04,1.68E+00,6.11E-01,6.27E-01,0.016015625
-1.93E-04,1.68E+00,6.14E-01,6.27E-01,0.01328125
-1.93E-04,1.67E+00,6.16E-01,6.25E-01,0.008984375
-1.92E-04,1.67E+00,6.15E-01,6.23E-01,0.007421875
-1.92E-04,1.65E+00,6.13E-01,6.19E-01,0.005859375
-1.91E-04,1.64E+00,6.09E-01,6.15E-01,0.00625
-1.91E-04,1.63E+00,6.03E-01,6.10E-01,0.00703125
-1.90E-04,1.62E+00,5.96E-01,6.06E-01,0.01015625
-1.90E-04,1.60E+00,5.89E-01,6.01E-01,0.011328125
-1.89E-04,1.58E+00,5.82E-01,5.95E-01,0.012109375
-1.89E-04,1.56E+00,5.75E-01,5.88E-01,0.012890625
-1.88E-04,1.54E+00,5.66E-01,5.80E-01,0.013671875
-1.88E-04,1.51E+00,5.58E-01,5.72E-01,0.013671875
-1.87E-04,1.48E+00,5.49E-01,5.64E-01,0.015234375
-1.87E-04,1.46E+00,5.40E-01,5.54E-01,0.0140625
-1.86E-04,1.42E+00,5.33E-01,5.45E-01,0.011328125
-1.86E-04,1.39E+00,5.25E-01,5.34E-01,0.009375
-1.85E-04,1.37E+00,5.17E-01,5.24E-01,0.006640625
-1.85E-04,1.33E+00,5.09E-01,5.13E-01,0.00390625
-1.84E-04,1.30E+00,5.00E-01,5.02E-01,0.001953125
-1.84E-04,1.26E+00,4.89E-01,4.89E-01,0.000390625
-1.83E-04,1.21E+00,4.76E-01,4.77E-01,0.00078125
-1.83E-04,1.18E+00,4.62E-01,4.64E-01,0.001953125
-1.82E-04,1.13E+00,4.48E-01,4.50E-01,0.001953125
-1.82E-04,1.10E+00,4.33E-01,4.36E-01,0.003125
-1.81E-04,1.05E+00,4.19E-01,4.22E-01,0.002734375
-1.81E-04,1.00E+00,4.07E-01,4.06E-01,0.00078125
-1.80E-04,9.51E-01,3.93E-01,3.91E-01,0.001953125
-1.80E-04,9.08E-01,3.79E-01,3.74E-01,0.005078125
-1.79E-04,8.50E-01,3.61E-01,3.58E-01,0.003515625
-1.79E-04,7.97E-01,3.44E-01,3.41E-01,0.002734375
-1.78E-04,7.52E-01,3.22E-01,3.25E-01,0.00234375
-1.78E-04,6.95E-01,3.02E-01,3.07E-01,0.0046875
-1.77E-04,6.41E-01,2.83E-01,2.91E-01,0.0078125
-1.77E-04,5.88E-01,2.65E-01,2.73E-01,0.008203125
-1.76E-04,5.33E-01,2.49E-01,2.55E-01,0.006640625
-1.76E-04,4.79E-01,2.32E-01,2.36E-01,0.003515625
-1.75E-04,4.22E-01,2.13E-01,2.18E-01,0.00546875
-1.75E-04,3.65E-01,1.96E-01,2.00E-01,0.003515625
-1.74E-04,3.05E-01,1.80E-01,1.80E-01,0.000390625
-1.74E-04,2.48E-01,1.66E-01,1.60E-01,0.00546875
-1.73E-04,1.88E-01,1.47E-01,1.39E-01,0.007421875
-1.73E-04,1.27E-01,1.32E-01,1.21E-01,0.0109375
-1.72E-04,6.45E-02,1.12E-01,1.01E-01,0.0109375
-1.72E-04,3.91E-03,9.57E-02,8.24E-02,0.01328125
-1.71E-04,-4.88E-02,7.50E-02,6.21E-02,0.012890625
-1.71E-04,-1.07E-01,5.43E-02,4.18E-02,0.0125
-1.70E-04,-1.66E-01,3.20E-02,2.11E-02,0.0109375
-1.70E-04,-2.27E-01,1.09E-02,1.95E-03,0.008984375
-1.69E-04,-2.89E-01,-7.42E-03,-1.80E-02,0.010546875
-1.69E-04,-3.54E-01,-2.58E-02,-3.63E-02,0.010546875
-1.68E-04,-4.12E-01,-4.38E-02,-5.55E-02,0.01171875
-1.68E-04,-4.71E-01,-6.17E-02,-7.66E-02,0.01484375
-1.67E-04,-5.37E-01,-8.24E-02,-9.69E-02,0.014453125
-1.67E-04,-5.94E-01,-1.02E-01,-1.16E-01,0.0140625
-1.66E-04,-6.56E-01,-1.18E-01,-1.36E-01,0.0171875
-1.66E-04,-7.07E-01,-1.38E-01,-1.55E-01,0.017578125
-1.65E-04,-7.68E-01,-1.56E-01,-1.73E-01,0.0171875
-1.65E-04,-8.28E-01,-1.76E-01,-1.93E-01,0.016796875
-1.64E-04,-8.89E-01,-1.94E-01,-2.13E-01,0.018359375
-1.64E-04,-9.45E-01,-2.16E-01,-2.32E-01,0.016015625
-1.63E-04,-1.00E+00,-2.36E-01,-2.52E-01,0.015625
-1.63E-04,-1.06E+00,-2.56E-01,-2.70E-01,0.013671875
-1.62E-04,-1.12E+00,-2.76E-01,-2.88E-01,0.012109375
-1.62E-04,-1.17E+00,-2.95E-01,-3.05E-01,0.0109375
-1.61E-04,-1.22E+00,-3.09E-01,-3.23E-01,0.0140625
-1.61E-04,-1.27E+00,-3.25E-01,-3.39E-01,0.0140625
-1.60E-04,-1.32E+00,-3.39E-01,-3.56E-01,0.016796875
-1.60E-04,-1.38E+00,-3.55E-01,-3.72E-01,0.017578125
-1.59E-04,-1.43E+00,-3.70E-01,-3.89E-01,0.01953125
-1.59E-04,-1.47E+00,-3.87E-01,-4.05E-01,0.018359375
-1.58E-04,-1.53E+00,-4.06E-01,-4.20E-01,0.014453125
-1.58E-04,-1.56E+00,-4.24E-01,-4.35E-01,0.0109375
-1.57E-04,-1.60E+00,-4.42E-01,-4.50E-01,0.0078125
-1.57E-04,-1.65E+00,-4.56E-01,-4.64E-01,0.0078125
-1.56E-04,-1.69E+00,-4.69E-01,-4.78E-01,0.008984375
-1.56E-04,-1.73E+00,-4.82E-01,-4.92E-01,0.01015625
-1.55E-04,-1.77E+00,-4.95E-01,-5.05E-01,0.009375
-1.55E-04,-1.81E+00,-5.06E-01,-5.16E-01,0.010546875
-1.54E-04,-1.84E+00,-5.17E-01,-5.29E-01,0.01171875
-1.54E-04,-1.88E+00,-5.24E-01,-5.39E-01,0.01484375
-1.53E-04,-1.91E+00,-5.30E-01,-5.50E-01,0.019140625
-1.53E-04,-1.94E+00,-5.39E-01,-5.59E-01,0.019921875
-1.52E-04,-1.96E+00,-5.47E-01,-5.69E-01,0.021484375
-1.52E-04,-1.99E+00,-5.58E-01,-5.77E-01,0.01953125
-1.51E-04,-2.02E+00,-5.66E-01,-5.86E-01,0.019921875
-1.51E-04,-2.04E+00,-5.78E-01,-5.94E-01,0.01640625
-1.50E-04,-2.07E+00,-5.88E-01,-6.01E-01,0.013671875
-1.50E-04,-2.08E+00,-5.95E-01,-6.08E-01,0.01328125
-1.49E-04,-2.10E+00,-6.02E-01,-6.15E-01,0.013671875
-1.49E-04,-2.12E+00,-6.12E-01,-6.20E-01,0.00859375
-1.48E-04,-2.14E+00,-6.17E-01,-6.25E-01,0.008203125
-1.48E-04,-2.15E+00,-6.21E-01,-6.30E-01,0.008984375
-1.47E-04,-2.16E+00,-6.25E-01,-6.34E-01,0.00859375
-1.47E-04,-2.17E+00,-6.26E-01,-6.37E-01,0.0109375
-1.46E-04,-2.18E+00,-6.27E-01,-6.39E-01,0.012109375
-1.46E-04,-2.19E+00,-6.25E-01,-6.41E-01,0.015625
-1.45E-04,-2.18E+00,-6.25E-01,-6.43E-01,0.0171875
-1.45E-04,-2.19E+00,-6.26E-01,-6.43E-01,0.01640625
-1.44E-04,-2.19E+00,-6.26E-01,-6.43E-01,0.017578125
-1.44E-04,-2.19E+00,-6.29E-01,-6.43E-01,0.014453125
-1.43E-04,-2.18E+00,-6.27E-01,-6.41E-01,0.014453125
-1.43E-04,-2.17E+00,-6.24E-01,-6.39E-01,0.01484375
-1.42E-04,-2.16E+00,-6.23E-01,-6.37E-01,0.0140625
