time	V(N004,N003)
3.784014112010268e-004	-3.263052e+000
3.820223488196823e-004	-3.105132e+000
3.867316408080787e-004	-2.669220e+000
3.929337890909534e-004	-1.785781e+000
3.984525624154971e-004	-7.900725e-001
4.028407024709987e-004	8.830619e-002
4.072984985116435e-004	9.763618e-001
4.120654165135256e-004	1.829304e+000
4.176425558702716e-004	2.660766e+000
4.200195206738703e-004	2.935061e+000
4.217720631706015e-004	3.083018e+000
4.234461916971258e-004	3.185216e+000
4.252756882839658e-004	3.256798e+000
4.269488996791125e-004	3.279712e+000
4.296703715062730e-004	3.224054e+000
4.340629178642654e-004	2.941770e+000
4.394830423250112e-004	2.313463e+000
4.458134640763136e-004	1.286252e+000
4.505064415439479e-004	3.844974e-001
4.547517335848495e-004	-4.759698e-001
4.590130452611094e-004	-1.296163e+000
4.646426740447402e-004	-2.242048e+000
4.686499935473983e-004	-2.786663e+000
4.707560719419928e-004	-3.003113e+000
4.723244812512806e-004	-3.121285e+000
4.741142839269752e-004	-3.214370e+000
4.761705085352232e-004	-3.271190e+000
4.784052979197152e-004	-3.262967e+000
4.820286220131054e-004	-3.104738e+000
4.867373237629408e-004	-2.668576e+000
4.929415505516662e-004	-1.784505e+000
4.984566663810619e-004	-7.892877e-001
5.028440471535058e-004	8.898869e-002
5.073009828660648e-004	9.768341e-001
5.120697845000336e-004	1.830034e+000
5.176446507467066e-004	2.661035e+000
5.200210417599184e-004	2.935208e+000
5.217731999986149e-004	3.083100e+000
5.234475599072256e-004	3.185278e+000
5.252781176261588e-004	3.256850e+000
5.269528551910052e-004	3.279708e+000
5.296767936917446e-004	3.223800e+000
5.340732024972523e-004	2.940830e+000
5.394960845116918e-004	2.311619e+000
5.458271712618062e-004	1.283734e+000
5.505187552569910e-004	3.820194e-001
5.547636825773501e-004	-4.783763e-001
5.590244957804114e-004	-1.298249e+000
5.646588725118447e-004	-2.244504e+000
5.686556689348685e-004	-2.787345e+000
5.707602488591266e-004	-3.003478e+000
5.723276245173422e-004	-3.121492e+000
5.741181029564908e-004	-3.214541e+000
