frequency;MAG;PHA
100.0;-55.7883333333334;90
126.63801734674034;-51.7796875;90
160.3718743751331;-47.7377049180328;90
203.09176209047348;-45.5638461538462;89.0153846153846
257.19138090593447;-44.6666666666667;90
325.7020655659783;-43.6045454545455;90
412.4626382901352;-42.5614942528736;90
522.3345074266844;-41.5029761904762;88.7380952380952
661.4740641230146;-39.3403726708075;88.7826086956522
837.6776400682916;-37.404106280193;88.7536231884058
1060.8183551394482;-35.3782608695649;88.8535469107552
1343.3993325989002;-33.2999999999999;87.8557692307692
1701.2542798525892;-31.2997668997667;87.9277389277389
2154.4346900318824;-29.2000000000002;86.2051835853132
2728.3333764867693;-27.1943566591424;86.0316742081448
3455.1072945922183;-25.1000000000002;85.0997732426304
4375.479375074185;-23.0;85.0596658711217
5541.020330009492;-20.8999999999999;84.0982800982802
7017.038286703822;-18.7997474747476;82.2734177215189
8886.238162743408;-16.6000000000001;79.5538461538463
11253.355826007646;-14.3999999999999;78.4776119402985
14251.026703029964;-12.1;73.9547738693467
18047.217668271704;-9.59999999999996;68.9949109414758
22854.63864134993;-6.90000000000004;60.0169971671388
28942.661247167518;-3.90625000000001;47.3190883190883
36652.41237079626;-1.30000000000001;22.364161849711
46415.888336127726;-0.9;-13.7485207100592
58780.16072274912;-3.20000000000002;-42.5598802395209
74438.03013251696;-6.19878787878791;-58.5090909090909
94266.84551178855;-8.90000000000004;-65.3887147335423
119377.66417144358;-11.5;-71.485294117647
151177.507061566;-13.9;-73.8
191448.19761699575;-16.2;-77.3809523809524
242446.20170823307;-18.6;-79.0333333333333
307029.062975785;-21.1;-79.7413793103448
388815.51803080854;-23.9;-79.2545454545454
492388.26317067316;-27.0037037037037;-80.1666666666667
623550.7341273912;-30.9211538461538;-81.9019607843137
789652.2868499733;-34.874;-87.3260869565217
1000000.0;-34.39375;-90.7209302325581
