Freq.	V(n003)
1.00000000000000e+000	(-2.76331896140757e-004dB,-9.81782703255318e-004°)
1.25892541179417e+000	(-2.76329261785287e-004dB,-1.23599119438439e-003°)
1.58489319246111e+000	(-2.76325086605375e-004dB,-1.55602072416824e-003°)
1.99526231496888e+000	(-2.76318469407373e-004dB,-1.95891403253320e-003°)
2.51188643150958e+000	(-2.76307981842830e-004dB,-2.46612665827259e-003°)
3.16227766016838e+000	(-2.76291360181317e-004dB,-3.10466952517474e-003°)
3.98107170553497e+000	(-2.76265016614239e-004dB,-3.90854737318384e-003°)
5.01187233627272e+000	(-2.76223264881097e-004dB,-4.92056963667858e-003°)
6.30957344480194e+000	(-2.76157092836504e-004dB,-6.19463020674875e-003°)
7.94328234724282e+000	(-2.76052217220597e-004dB,-7.79857748496684e-003°)
1.00000000000000e+001	(-2.75886000563566e-004dB,-9.81782757323628e-003°)
1.25892541179417e+001	(-2.75622564916398e-004dB,-1.23599130227384e-002°)
1.58489319246111e+001	(-2.75205047544843e-004dB,-1.55602093943428e-002°)
1.99526231496888e+001	(-2.74543327095018e-004dB,-1.95891446204767e-002°)
2.51188643150958e+001	(-2.73494570813612e-004dB,-2.46612751526453e-002°)
3.16227766016838e+001	(-2.71832404026285e-004dB,-3.10467123510125e-002°)
3.98107170553498e+001	(-2.69198046950611e-004dB,-3.90855078493588e-002°)
5.01187233627273e+001	(-2.65022871736268e-004dB,-4.92057644402128e-002°)
6.30957344480194e+001	(-2.58405663418420e-004dB,-6.19464378919258e-002°)
7.94328234724283e+001	(-2.47918091096918e-004dB,-7.79860458553467e-002°)
1.00000000000000e+002	(-2.31296399325862e-004dB,-9.81788164607374e-002°)
1.25892541179417e+002	(-2.04952768575535e-004dB,-1.23600209125321e-001°)
1.58489319246112e+002	(-1.63200865698814e-004dB,-1.55604246637248e-001°)
1.99526231496888e+002	(-9.70284037982398e-005dB,-1.95895741423460e-001°)
2.51188643150958e+002	(7.84827065051874e-006dB,-2.46621321708788e-001°)
3.16227766016838e+002	(1.74067577685052e-004dB,-3.10484223570307e-001°)
3.98107170553498e+002	(4.37509886430889e-004dB,-3.90889198542719e-001°)
5.01187233627273e+002	(8.55043987947816e-004dB,-4.92125725833996e-001°)
6.30957344480194e+002	(1.51680646227662e-003dB,-6.19600228670510e-001°)
7.94328234724283e+002	(2.56566827070253e-003dB,-7.80131544285427e-001°)
1.00000000000000e+003	(4.22810003518221e-003dB,-9.82329146143075e-001°)
1.25892541179417e+003	(6.86312231300913e-003dB,-1.23708178991091e+000°)
1.58489319246112e+003	(1.10399669016684e-002dB,-1.55819769311611e+000°)
1.99526231496888e+003	(1.76613623640868e-002dB,-1.96326064678380e+000°)
2.51188643150959e+003	(2.81594277254873e-002dB,-2.47480876180035e+000°)
3.16227766016839e+003	(4.48073782568023e-002dB,-3.12202260076812e+000°)
3.98107170553498e+003	(7.12165711794827e-002dB,-3.94326649254008e+000°)
5.01187233627273e+003	(1.13131550616591e-001dB,-4.99014592465780e+000°)
6.30957344480195e+003	(1.79707058365776e-001dB,-6.33441763082629e+000°)
7.94328234724283e+003	(2.85568745922323e-001dB,-8.08057908124198e+000°)
1.00000000000000e+004	(4.54145444097304e-001dB,-1.03904595128399e+001°)
1.25892541179417e+004	(7.22991214623301e-001dB,-1.35349607402110e+001°)
1.58489319246112e+004	(1.15166366041504e+000dB,-1.80123788400689e+001°)
1.99526231496889e+004	(1.82894697509327e+000dB,-2.48450617831056e+001°)
2.51188643150959e+004	(2.84555305117386e+000dB,-3.63761877268117e+001°)
3.16227766016839e+004	(3.98874922607732e+000dB,-5.80108443901068e+001°)
3.98107170553498e+004	(3.44825078956052e+000dB,-9.46443237748562e+001°)
5.01187233627274e+004	(-5.96524025784527e-001dB,-1.28798232430863e+002°)
6.30957344480195e+004	(-5.78029882590475e+000dB,-1.47921370322318e+002°)
7.94328234724284e+004	(-1.07269122265711e+001dB,-1.58406927617267e+002°)
1.00000000000000e+005	(-1.53464583040879e+001dB,-1.64921454108804e+002°)
1.25892541179417e+005	(-1.97371789827920e+001dB,-1.69453071012457e+002°)
1.58489319246112e+005	(-2.39819928423611e+001dB,-1.72900320805943e+002°)
1.99526231496889e+005	(-2.81353203146197e+001dB,-1.75727889960359e+002°)
2.51188643150959e+005	(-3.22312947521641e+001dB,-1.78213570922868e+002°)
3.16227766016839e+005	(-3.62911412614747e+001dB,1.79449940928871e+002°)
3.98107170553499e+005	(-4.03280289761585e+001dB,1.77107806934883e+002°)
5.01187233627274e+005	(-4.43500999262972e+001dB,1.74617596529217e+002°)
6.30957344480196e+005	(-4.83623806607292e+001dB,1.71832318919059e+002°)
7.94328234724285e+005	(-5.23681049554081e+001dB,1.68585437881537e+002°)
1.00000000000000e+006	(-5.63699453796926e+001dB,1.64673500415522e+002°)
